original,english,french,espanol,italiano,german,dutch,
Oh dear - we need you to return your old equipment,Oh dear - we need you to return your old equipment,Oh mon Dieu - nous avons besoin que vous retourniez votre ancien équipement,"Oh querido, necesitamos que devuelvas tu viejo equipo","Oh cielo, abbiamo bisogno che tu restituisca la tua vecchia attrezzatura","Oh je - wir brauchen Sie, um Ihr altes Gerät zurückzugeben",Oh jee - we hebben je nodig om je oude apparatuur terug te brengen,
Your internet service has been reduced to 1Mbps,Your internet service has been reduced to 1Mbps,Votre service Internet a été réduit à 1 Mbps,Tu servicio de internet se ha reducido a 1Mbps,Il tuo servizio Internet è stato ridotto a 1 Mbps,Ihr Internetdienst wurde auf 1 Mbit/s reduziert,Uw internetservice is teruggebracht tot 1 Mbps,
Because you have not yet returned your old equipment we have now reduced your band width to 1Mbps.&nbsp; Your services will be restored to normal once you have returned it.,Because you have not yet returned your old equipment we have now reduced your band width to 1Mbps.&nbsp; Your services will be restored to normal once you have returned it.,"Parce que vous n'avez pas encore rendu votre ancien équipement, nous avons maintenant réduit votre bande passante à 1 Mbps.&nbsp; Vos services seront restaurés à la normale une fois que vous les aurez rendus.","Debido a que aún no ha devuelto su antiguo equipo, ahora hemos reducido su ancho de banda a 1 Mbps.&nbsp; Sus servicios volverán a la normalidad una vez que lo haya devuelto.","Poiché non hai ancora restituito la tua vecchia apparecchiatura, ora abbiamo ridotto la larghezza di banda a 1 Mbps.&nbsp; I tuoi servizi verranno ripristinati alla normalità una volta che lo avrai restituito.","Da Sie Ihr altes Gerät noch nicht zurückgegeben haben, haben wir Ihre Bandbreite jetzt auf 1 Mbit/s reduziert.&nbsp; Ihre Dienste werden nach der Rückgabe wieder normalisiert.","Omdat je je oude apparatuur nog niet hebt ingeleverd, hebben we nu je bandbreedte teruggebracht naar 1Mbps.&nbsp; Uw services worden weer normaal zodra u deze hebt geretourneerd.",
How do I return my old equiment?,How do I return my old equiment?,Comment rendre mon ancien matériel ?,¿Cómo devuelvo mi viejo equipo?,Come posso restituire la mia vecchia attrezzatura?,Wie gebe ich mein altes Gerät zurück?,Hoe lever ik mijn oude apparatuur in?,
Continue to Internet,Continue to Internet,Continuer vers Internet,Continuar a Internet,Continua su Internet,Weiter zu Internet,Ga verder naar internet,
devicesoverview.component,devicesoverview.component,devicesoverview.component,devicesoverview.component,devicesoverview.component,devicesoverview.component,devicesoverview.component,
address,address,adresse,Dirección,indirizzo,die Anschrift,adres,
modems,modems,modems,módems,modem,Modems,modems,
Add modem,Add modem,Ajouter un modem,Agregar módem,Aggiungi modem,Modem hinzufügen,Modem toevoegen,
Modem name,Modem name,Nom du modem,Nombre del módem,Nome del modem,Modemname,Modem naam,
working,working,travail,laboral,Lavorando,Arbeiten,werken,
Reboot,Reboot,Redémarrer,Reiniciar,Riavviare,Neustart,Opnieuw opstarten,
Test,Test,Test,Prueba,Test,Prüfen,Testen,
Details,Details,Détails,Detalles,Particolari,Einzelheiten,Details,
wifi extenders,wifi extenders,répéteurs Wi-Fi,extensores wifi,estensori Wi-Fi,WLAN-Extender,wifi-extenders,
Add extender,Add extender,Ajouter un prolongateur,Agregar extensor,Aggiungi estensore,Extender hinzufügen,Verlenger toevoegen,
Extender name,Extender name,Nom du prolongateur,Nombre del extensor,Nome dell'estensione,Extender-Name,Naam van de extender,
set top boxes,set top boxes,décodeurs,decodificadores,decoder,Set-Top-Boxen,settopboxen,
Add set top box,Add set top box,Ajouter un décodeur,Agregar decodificador,Aggiungi decoder,Set-Top-Box hinzufügen,Voeg een settopbox toe,
STB name,STB name,Nom du décodeur,nombre de STB,Nome STB,STB-Name,STB naam,
extenderdetails.component,extenderdetails.component,extenderdetails.component,extenderdetails.component,extenderdetails.component,extenderdetails.component,extenderdetails.component,
Extender,Extender,Extenseur,extensor,Estensore,Verlängerung,Verlenger,
extender name,extender name,nom de l'extension,extensor de nombre,nome dell'estensore,Name des Extenders,naam van de extender,
Model,Model,Modèle,Modelo,Modello,Modell,Model,
model name,model name,nom du modèle,nombre del modelo,nome del modello,Modellname,modelnaam,
Software version,Software version,Une version de logiciel,Versión del software,Versione software,Softwareversion,Software versie,
version number,version number,numéro de version,número de versión,numero della versione,Versionsnummer,versienummer,
Name,Name,Nom,Nombre,Nome,Name,Naam,
modem name,modem name,nom du modem,nombre del módem,nome del modem,Modemname,modem naam,
Internet access,Internet access,accès Internet,acceso a Internet,accesso ad Internet,Internet Zugang,internet toegang,
Connexion ID,Connexion ID,Identifiant de connexion,ID de conexión,ID connessione,Verbindungs-ID,Verbindings-ID,
Access type,Access type,Type d'accès,Tipo de acceso,Tipo di accesso,Zugangsart,Toegangstype,
Address,Address,Adresse,Dirección,Indirizzo,Adresse,Adres,
Prefix,Prefix,Préfixe,Prefijo,Prefisso,Präfix,Voorvoegsel,
Diagnostics,Diagnostics,Diagnostique,Diagnóstico,Diagnostica,Diagnose,Diagnostiek,
modemdetails.component,modemdetails.component,modemdetails.component,modemdetails.component,modemdetails.component,modemdetails.component,modemdetails.component,
Modem,Modem,Modem,Módem,Modem,Modem,Modem,
modem nickname,modem nickname,surnom du modem,apodo de módem,soprannome del modem,Modem-Spitzname,modem bijnaam,
Model,Model,Modèle,Modelo,Modello,Modell,Model,
Software version,Software version,Une version de logiciel,Versión del software,Versione software,Softwareversion,Software versie,
Nickname,Nickname,Surnom,Apodo,Soprannome,Spitzname,Bijnaam,
Internet access,Internet access,accès Internet,acceso a Internet,accesso ad Internet,Internet Zugang,internet toegang,
Connexion ID,Connexion ID,Identifiant de connexion,ID de conexión,ID connessione,Verbindungs-ID,Verbindings-ID,
Access type,Access type,Type d'accès,Tipo de acceso,Tipo di accesso,Zugangsart,Toegangstype,
Address,Address,Adresse,Dirección,Indirizzo,Adresse,Adres,
Prefix,Prefix,Préfixe,Prefijo,Prefisso,Präfix,Voorvoegsel,
Diagnostics,Diagnostics,Diagnostique,Diagnóstico,Diagnostica,Diagnose,Diagnostiek,
Swap modem,Swap modem,Changer de modem,Intercambiar módem,Cambia modem,Modem tauschen,Modem verwisselen,
Remove modem,Remove modem,Supprimer le modem,Eliminar módem,Rimuovi il modem,Modem entfernen,Modem verwijderen,
stbdetails.component,stbdetails.component,stbdetails.component,stbdetails.component,stbdetails.component,stbdetails.component,stbdetails.component,
Set top box,Set top box,Décodeur numérique,Fijar la caja de encima,Scatola superiore,Set-Top-Box,Set-top box,
STB name,STB name,Nom du décodeur,nombre de STB,Nome STB,STB-Name,STB naam,
Model,Model,Modèle,Modelo,Modello,Modell,Model,
Name,Name,Nom,Nombre,Nome,Name,Naam,
connection information,connection information,informations de connexion,información de conexión,informazioni di connessione,Verbindungsinformationen,verbinding informatie,
Connection type,Connection type,Type de connexion,Tipo de conección,Tipo di connessione,Verbindungstyp,Connectie type,
First connection,First connection,Première connexion,Primera conexión,Primo collegamento,Erste Verbindung,Eerste verbinding,
Last connection,Last connection,Dernière connexion,última conexión,Ultima connessione,Letzte Verbindung,Laatste verbinding,
Diagnostics,Diagnostics,Diagnostique,Diagnóstico,Diagnostica,Diagnose,Diagnostiek,
voicedetails.component,voicedetails.component,voicedetails.component,voicedetails.component,voicedetails.component,voicedetails.component,voicedetails.component,
fixed phone name,fixed phone name,nom de téléphone fixe,nombre de teléfono fijo,nome fisso del telefono,Fester Telefonname,vaste telefoonnaam,
Model,Model,Modèle,Modelo,Modello,Modell,Model,
Name,Name,Nom,Nombre,Nome,Name,Naam,
connexion information,connexion information,informations de connexion,información de conexión,informazioni di connessione,Verbindungsinformationen,verbinding informatie,
Number,Number,Numéro,Número,Numero,Nummer,Nummer,
First connection,First connection,Première connexion,Primera conexión,Primo collegamento,Erste Verbindung,Eerste verbinding,
Last connection,Last connection,Dernière connexion,última conexión,Ultima connessione,Letzte Verbindung,Laatste verbinding,
about.component,about.component,about.component,about.component,about.component,about.component,about.component,
About,About,À propos de,Sobre,Di,Um,Over,
Quick Connect Care Application,Quick Connect Care Application,Application de soins à connexion rapide,Solicitud de atención de conexión rápida,Applicazione Quick Connect Care,Quick Connect Care-Anwendung,Quick Connect Care-applicatie,
Software version,Software version,Une version de logiciel,Versión del software,Versione software,Softwareversion,Software versie,
language.component,language.component,language.component,language.component,language.component,language.component,language.component,
Language,Language,Langue,Idioma,Lingua,Sprache,Taal,
Choose your language,Choose your language,Choisissez votre langue,Elige tu idioma,scegli la tua LINGUA,Wähle deine Sprache,Kies je taal,
serviceability.component,serviceability.component,serviceability.component,serviceability.component,serviceability.component,serviceability.component,serviceability.component,
Serviceability,Serviceability,Facilité d'entretien,Utilidad,Funzionalità,Wartungsfreundlichkeit,Onderhoudsgemak,
Choose your language,Choose your language,Choisissez votre langue,Elige tu idioma,scegli la tua LINGUA,Wähle deine Sprache,Kies je taal,
Not Addressable,Not Addressable,Non adressable,No direccionable,Non indirizzabile,Nicht ansprechbar,Niet adresseerbaar,
Addressabke Not Serviceable,Addressabke Not Serviceable,Adresse non réparable,Direccionable no reparable,Indirizzamento non riparabile,Adressabke nicht wartungsfähig,Addressabke niet bruikbaar,
Addressabke and Serviceable,Addressabke and Serviceable,Adressable et réparable,Direccionable y reparable,Indirizzabile e riparabile,Adressierbar und wartungsfähig,Adresseerbaar en bruikbaar,
Premise with a drop/demarcation box,Premise with a drop/demarcation box,Locaux avec une boîte de dépôt/de démarcation,Local con caja de bajada/demarcación,Locale con cassetta di demarcazione/demarcazione,Prämisse mit einem Abwurf-/Abgrenzungskasten,Gebouw met een drop/demarcation box,
servicemenu.component,servicemenu.component,servicemenu.component,servicemenu.component,servicemenu.component,servicemenu.component,servicemenu.component,
Service,Service,Service,Servicio,Servizio,Service,Onderhoud,
Network,Network,Réseau,La red,Rete,Netzwerk,Netwerk,
Devices,Devices,Dispositifs,Dispositivos,Dispositivi,Geräte,Apparaten,
Subscriptions,Subscriptions,Abonnements,Suscripciones,Abbonamenti,Abonnements,Abonnementen,
Check eligibility,Check eligibility,Vérifier l'éligibilité,Verificar elegibilidad,Verifica l'idoneità,Berechtigung prüfen,Controleer geschiktheid,
supportmenu.component,supportmenu.component,supportmenu.component,supportmenu.component,supportmenu.component,supportmenu.component,supportmenu.component,
Support,Support,Soutien,Apoyo,Supporto,Die Unterstützung,Steun,
About Quick Connect,About Quick Connect,À propos de la connexion rapide,Acerca de la conexión rápida,Informazioni su Connessione rapida,Über Quick Connect,Over Snel verbinden,
FAQs,FAQs,FAQ,preguntas frecuentes,Domande frequenti,Häufig gestellte Fragen,Veelgestelde vragen,
Help,Help,Aider,Ayuda,Aiuto,Hilfe,Helpen,
Legal,Legal,Juridique,Legal,Legale,Gesetzlich,Juridisch,
findmydrop.component,findmydrop.component,findmydrop.component,findmydrop.component,findmydrop.component,findmydrop.component,findmydrop.component,
Find connection point,Find connection point,Trouver un point de connexion,Buscar punto de conexión,Trova punto di connessione,Anschlusspunkt finden,Zoek verbindingspunt,
Your premises has got a service connection point,Your premises has got a service connection point,Votre local dispose d'un point de raccordement de service,Su local dispone de un punto de conexión de servicio,La tua sede ha un punto di connessione al servizio,Ihr Betrieb verfügt über einen Serviceanschlusspunkt,Uw pand heeft een serviceaansluitpunt,
It is a small white plate on the wall that has a place to connect a cable.&nbsp; This is where you attach a modem.,It is a small white plate on the wall that has a place to connect a cable.&nbsp; This is where you attach a modem.,Il s'agit d'une petite plaque blanche sur le mur qui a un emplacement pour connecter un câble.&nbsp; C'est là que vous connectez un modem.,Es una pequeña placa blanca en la pared que tiene un lugar para conectar un cable.&nbsp; Aquí es donde se conecta un módem.,È un piccolo piatto bianco sul muro che ha un posto per collegare un cavo.&nbsp; Qui è dove si collega un modem.,"Es ist eine kleine weiße Platte an der Wand, an der ein Kabel angeschlossen werden kann.&nbsp; Hier schließen Sie ein Modem an.",Het is een klein wit plaatje aan de muur waarop een kabel kan worden aangesloten.&nbsp; Hier sluit je een modem aan.,
"You may already know where it is.&nbsp; If not, then examine the plan of your premise below to see where we suggest you look.&nbsp; Please confirm the connection point does exist and is undamaged before ordering your services.","You may already know where it is.&nbsp; If not, then examine the plan of your premise below to see where we suggest you look.&nbsp; Please confirm the connection point does exist and is undamaged before ordering your services.","Vous savez peut-être déjà où il se trouve.&nbsp; Si ce n'est pas le cas, examinez le plan de votre local ci-dessous pour voir où nous vous suggérons de regarder.&nbsp; Veuillez confirmer que le point de connexion existe et qu'il n'est pas endommagé avant de commander vos services.","Es posible que ya sepa dónde está.&nbsp; Si no es así, examine el plano de su local a continuación para ver dónde le sugerimos que busque.&nbsp; Confirme que el punto de conexión existe y no está dañado antes de solicitar sus servicios.","Potresti già sapere dov'è.&nbsp; In caso contrario, esamina la pianta della tua sede qui sotto per vedere dove ti suggeriamo di guardare.&nbsp; Verificare che il punto di connessione esista e non sia danneggiato prima di ordinare i servizi.","Möglicherweise wissen Sie bereits, wo es sich befindet.&nbsp; Wenn nicht, sehen Sie sich den Grundriss Ihres Grundstücks unten an, um zu sehen, wo wir Ihnen vorschlagen, zu suchen.&nbsp; Bitte vergewissern Sie sich, dass der Anschlusspunkt existiert und unbeschädigt ist, bevor Sie Ihre Dienste bestellen.","Je weet misschien al waar het is.&nbsp; Zo niet, bekijk dan de plattegrond van uw pand hieronder om te zien waar we u aanraden te kijken. Bevestig dat het aansluitpunt bestaat en onbeschadigd is voordat u uw diensten bestelt.",
"If you are unsure, please ring our help line #######.","If you are unsure, please ring our help line #######.","Si vous n'êtes pas sûr, veuillez appeler notre ligne d'assistance #######.","Si no está seguro, llame a nuestra línea de ayuda #######.","Se non sei sicuro, chiama la nostra linea di assistenza ########.","Wenn Sie sich nicht sicher sind, rufen Sie bitte unsere Hotline ####### an.","Als je het niet zeker weet, bel dan onze hulplijn #######.",
Order services,Order services,Prestations de commande,Ordenar servicios,Ordinare i servizi,Dienstleistungen bestellen,Bestel diensten,
getaddress.component,getaddress.component,getaddress.component,getaddress.component,getaddress.component,getaddress.component,getaddress.component,
Test eligibilty,Test eligibilty,Admissibilité au test,Prueba de elegibilidad,Testare l'idoneità,Testberechtigung,Geschiktheid testen,
Find out if you are in an area that is eligible for Liberty internet service.,Find out if you are in an area that is eligible for Liberty internet service.,Découvrez si vous vous trouvez dans une zone éligible au service Internet Liberty.,Averigüe si se encuentra en un área que es elegible para el servicio de Internet de Liberty.,Scopri se ti trovi in ​​un'area idonea per il servizio Internet Liberty.,"Finden Sie heraus, ob Sie sich in einem Gebiet befinden, das für den Liberty-Internetdienst berechtigt ist.",Zoek uit of u zich in een gebied bevindt dat in aanmerking komt voor de internetservice van Liberty.,
"If you are, you can pre-order your service with no charge!","If you are, you can pre-order your service with no charge!","Si vous l'êtes, vous pouvez pré-commander votre service sans frais !","Si es así, puede reservar su servicio sin cargo.","Se lo sei, puoi preordinare il tuo servizio gratuitamente!","Wenn ja, können Sie Ihren Service kostenlos vorbestellen!","Als dat zo is, kunt u uw service kosteloos vooruitbestellen!",
Either,Either,Soit,O,O,Entweder,Of,
Accept to share your geo-location? (You will get a second request from Google).,Accept to share your geo-location? (You will get a second request from Google).,Accepter de partager votre géo-localisation ? (Vous recevrez une deuxième demande de Google).,¿Aceptar compartir su ubicación geográfica? (Recibirá una segunda solicitud de Google).,Accetti di condividere la tua geolocalizzazione? (Riceverai una seconda richiesta da Google).,"Akzeptieren Sie, Ihren Standort zu teilen? (Sie erhalten eine zweite Anfrage von Google).",Accepteren om uw geolocatie te delen? (Je krijgt een tweede verzoek van Google).,
Yes,Yes,Oui,Sí,sì,Ja,Ja,
No,No,Non,No,No,Nein,Nee,
Enter your address.,Enter your address.,Entrez votre adresse.,Introduce tu dirección.,Inserisci il tuo indirizzo.,Geben Sie Ihre Adresse ein.,Voer uw adres in.,
continue,continue,Continuez,Seguir,Continua,fortsetzen,doorgaan,
resultnegative.component,resultnegative.component,resultnegative.component,resultnegative.component,resultnegative.component,resultnegative.component,resultnegative.component,
Test eligilbilty,Test eligilbilty,Admissibilité au test,Prueba de elegibilidad,Testare l'idoneità,Prüfungsberechtigung,Geschiktheid testen,
"Sorry, but it is not yet possible to make Fiber (or cable) available at this location. Register your interest and we'll be in touch when we can connect you.","Sorry, but it is not yet possible to make Fiber (or cable) available at this location. Register your interest and we'll be in touch when we can connect you.","Désolé, mais il n'est pas encore possible de rendre la fibre (ou le câble) disponible à cet endroit. Enregistrez votre intérêt et nous vous contacterons lorsque nous pourrons vous connecter.","Lo sentimos, pero aún no es posible hacer que Fiber (o cable) esté disponible en esta ubicación. Registre su interés y nos pondremos en contacto cuando podamos conectarlo.","Siamo spiacenti, ma non è ancora possibile rendere disponibile la fibra (o il cavo) in questa sede. Registra il tuo interesse e ti contatteremo quando potremo metterti in contatto.","Entschuldigung, aber es ist noch nicht möglich, Glasfaser (oder Kabel) an diesem Standort verfügbar zu machen. Registrieren Sie Ihr Interesse und wir werden uns mit Ihnen in Verbindung setzen, wenn wir Sie verbinden können.",Het is helaas nog niet mogelijk om op deze locatie glasvezel (of kabel) beschikbaar te maken. Registreer uw interesse en we nemen contact met u op wanneer we u kunnen verbinden.,
position,position,position,posición,posizione,Position,positie,
address,address,adresse,Dirección,indirizzo,die Anschrift,adres,
Test another address,Test another address,Tester une autre adresse,Probar otra dirección,Prova un altro indirizzo,Testen Sie eine andere Adresse,Test een ander adres,
Register interest,Register interest,Enregistrer l'intérêt,Registrar interés,Registrati interesse,Interesse anmelden,Interesse registreren,
Let me know when I can get Liberty services!,Let me know when I can get Liberty services!,Faites-moi savoir quand je pourrai bénéficier des services Liberty !,¡Avísame cuando pueda obtener los servicios de Liberty!,Fammi sapere quando posso ottenere i servizi Liberty!,"Lassen Sie mich wissen, wann ich Liberty-Services erhalten kann!",Laat me weten wanneer ik Liberty-services kan krijgen!,
Let us know how you'd like to be contacted.,Let us know how you'd like to be contacted.,Faites-nous savoir comment vous souhaitez être contacté.,Háganos saber cómo le gustaría ser contactado.,Facci sapere come vorresti essere contattato.,"Teilen Sie uns mit, wie Sie kontaktiert werden möchten.",Laat ons weten hoe u gecontacteerd wilt worden.,
your phone number,your phone number,votre numéro de téléphone,su número de teléfono,il tuo numero di telefono,deine Telefonnummer,jouw telefoon nummer,
or/and your email address,or/and your email address,ou/et votre adresse e-mail,o/y su dirección de correo electrónico,o/e il tuo indirizzo email,oder/und Ihre E-Mail-Adresse,of/en uw e-mailadres,
Close,Close,proche,Cerca,Chiudere,Nah dran,Dichtbij,
Confirm,Confirm,Confirmer,Confirmar,Confermare,Bestätigen,Bevestigen,
resultpositiveexisting.component,resultpositiveexisting.component,resultpositiveexisting.component,resultpositiveexisting.component,resultpositiveexisting.component,resultpositiveexisting.component,resultpositiveexisting.component,
test eligilbilty,test eligilbilty,tester l'éligibilité,prueba de elegibilidad,testare l'idoneità,Prüfungsberechtigung,geschiktheid testen,
Congratulations! Fiber (or cable) is already available at the location,Congratulations! Fiber (or cable) is already available at the location,Toutes nos félicitations! La fibre (ou le câble) est déjà disponible sur place,¡Felicidades! La fibra (o cable) ya está disponible en la ubicación,Congratulazioni! La fibra (o il cavo) è già disponibile in loco,Herzliche Glückwünsche! Glasfaser (oder Kabel) ist bereits am Standort verfügbar,Gefeliciteerd! Op de locatie is al glasvezel (of kabel) aanwezig,
position,position,position,posición,posizione,Position,positie,
address,address,adresse,Dirección,indirizzo,die Anschrift,adres,
Test another address,Test another address,Tester une autre adresse,Probar otra dirección,Prova un altro indirizzo,Testen Sie eine andere Adresse,Test een ander adres,
Find my connection point,Find my connection point,Trouver mon point de connexion,Encuentra mi punto de conexión,Trova il mio punto di connessione,Finden Sie meinen Verbindungspunkt,Vind mijn aansluitpunt,
resultpositivenew.component,resultpositivenew.component,resultpositivenew.component,resultpositivenew.component,resultpositivenew.component,resultpositivenew.component,resultpositivenew.component,
test eligilibilty,test eligilibilty,tester l'éligibilité,prueba de elegibilidad,testare l'idoneità,Prüfungsberechtigung,geschiktheid testen,
Congratulations! Fiber (or cable) can be made available at the location,Congratulations! Fiber (or cable) can be made available at the location,Toutes nos félicitations! La fibre (ou le câble) peut être mise à disposition sur place,¡Felicidades! La fibra (o cable) puede estar disponible en la ubicación,Congratulazioni! La fibra (o il cavo) può essere resa disponibile in loco,Herzliche Glückwünsche! Glasfaser (oder Kabel) kann am Standort verfügbar gemacht werden,Gefeliciteerd! Op de locatie kan glasvezel (of kabel) ter beschikking worden gesteld,
position,position,position,posición,posizione,Position,positie,
Test another address,Test another address,Tester une autre adresse,Probar otra dirección,Prova un altro indirizzo,Testen Sie eine andere Adresse,Test een ander adres,
Request connection,Request connection,Demander une connexion,Solicitar conexión,Richiedi connessione,Verbindung anfordern,Aansluiting aanvragen,
what3words.component,what3words.component,what3words.component,what3words.component,what3words.component,what3words.component,what3words.component,
Test eligibilty,Test eligibilty,Admissibilité au test,Prueba de elegibilidad,Testare l'idoneità,Testberechtigung,Geschiktheid testen,
Position the pin to find your 'what3words' location,Position the pin to find your 'what3words' location,Positionnez l'épingle pour trouver votre emplacement 'what3words',Coloque el pin para encontrar su ubicación de 'what3words',"Posiziona il segnaposto per trovare la posizione di ""what3words"".","Positionieren Sie die Stecknadel, um Ihren „what3words“-Standort zu finden",Plaats de pin om uw 'what3words'-locatie te vinden,
test service eligibility at this location,test service eligibility at this location,tester l'éligibilité au service à cet endroit,probar la elegibilidad del servicio en esta ubicación,testare l'idoneità al servizio in questa sede,Serviceberechtigung an diesem Standort testen,test geschiktheid voor service op deze locatie,
footer.component,footer.component,footer.component,footer.component,footer.component,footer.component,footer.component,
CANCEL,CANCEL,ANNULER,CANCELAR,ANNULLA,ABBRECHEN,ANNULEREN,
CONFIRM,CONFIRM,CONFIRMER,CONFIRMAR,CONFERMARE,BESTÄTIGEN,BEVESTIGEN,
header.component,header.component,header.component,header.component,header.component,header.component,header.component,
Account,Account,Compte,Cuenta,Account,Konto,Account,
Service,Service,Service,Servicio,Servizio,Service,Onderhoud,
Support,Support,Soutien,Apoyo,Supporto,Die Unterstützung,Steun,
Language,Language,Langue,Idioma,Lingua,Sprache,Taal,
About,About,À propos de,Sobre,Di,Um,Over,
Serviceability,Serviceability,Facilité d'entretien,Utilidad,Funzionalità,Wartungsfreundlichkeit,Onderhoudsgemak,
layout.component,layout.component,layout.component,layout.component,layout.component,layout.component,layout.component,
login.component,login.component,login.component,login.component,login.component,login.component,login.component,
Login to your account,Login to your account,Connectez-vous à votre compte,Ingrese a su cuenta,Accedi al tuo account,Melde dich in deinem Konto an,Log in op jouw account,
Account name,Account name,Nom du compte,Nombre de la cuenta,Nome utente,Kontobezeichnung,Accountnaam,
Password,Password,Mot de passe,Clave,Parola d'ordine,Passwort,Wachtwoord,
Remember me,Remember me,Souviens-toi de moi,Acuérdate de mí,Ricordati di me,Erinnere dich an mich,Onthoud mij,
Forgot password,Forgot password,Mot de passe oublié,Se te olvidó tu contraseña,Ha dimenticato la password,Passwort vergessen,Wachtwoord vergeten,
Login,Login,Connexion,Acceso,Login,Anmeldung,Log in,
or,or,ou,o,o,oder,of,
Create an account,Create an account,Créer un compte,Crea una cuenta,Creare un account,Ein Konto erstellen,Account aanmaken,
welcome.component,welcome.component,welcome.component,welcome.component,welcome.component,welcome.component,welcome.component,
Welcome to Quick Connect,Welcome to Quick Connect,Bienvenue dans la connexion rapide,Bienvenido a Conexión Rápida,Benvenuto in Connessione rapida,Willkommen bei Quick Connect,Welkom bij Snel verbinden,
Choose your Opco,Choose your Opco,Choisissez votre Opco,Elige tu Opco,Scegli il tuo Opco,Wählen Sie Ihren Opco,Kies uw Opco,
Choose your Market,Choose your Market,Choisissez votre marché,Elige tu Mercado,Scegli il tuo mercato,Wählen Sie Ihren Markt,Kies uw markt,
Login to your account,Login to your account,Connectez-vous à votre compte,Ingrese a su cuenta,Accedi al tuo account,Melde dich in deinem Konto an,Log in op jouw account,
Create an account,Create an account,Créer un compte,Crea una cuenta,Creare un account,Ein Konto erstellen,Account aanmaken,
or,or,ou,o,o,oder,of,
Check service eligibility,Check service eligibility,Vérifier l'admissibilité au service,Verifique la elegibilidad del servicio,Verifica l'idoneità al servizio,Überprüfen Sie die Serviceberechtigung,Controleer of u in aanmerking komt voor de service,
Learn more,Learn more,Apprendre encore plus,Aprende más,Scopri di più,Mehr erfahren,Leer meer,
logins.component,logins.component,logins.component,logins.component,logins.component,logins.component,logins.component,
Swap modem,Swap modem,Changer de modem,Intercambiar módem,Cambia modem,Modem tauschen,Modem verwisselen,
Log into your Liberty account.,Log into your Liberty account.,Connectez-vous à votre compte Liberty.,Inicie sesión en su cuenta de Liberty.,Accedi al tuo account Libertà.,Melden Sie sich bei Ihrem Liberty-Konto an.,Log in op uw Liberty-account.,
Connect,Connect,Relier,Conectar,Collegare,Verbinden,Aansluiten,
forgot password?,forgot password?,mot de passe oublié?,¿Has olvidado tu contraseña?,Ha dimenticato la password?,Passwort vergessen?,Wachtwoord vergeten?,
modemreboot.component,modemreboot.component,modemreboot.component,modemreboot.component,modemreboot.component,modemreboot.component,modemreboot.component,
Swap modem,Swap modem,Changer de modem,Intercambiar módem,Cambia modem,Modem tauschen,Modem verwisselen,
Your location is:,Your location is:,Votre emplacement est :,Tu ubicación es:,La tua posizione è:,Ihr Standort ist:,Uw locatie is:,
Your old settings are now set up on your new modem.,Your old settings are now set up on your new modem.,Vos anciens paramètres sont maintenant configurés sur votre nouveau modem.,Su configuración anterior ahora está configurada en su nuevo módem.,Le tue vecchie impostazioni sono ora configurate sul tuo nuovo modem.,Ihre alten Einstellungen sind jetzt auf Ihrem neuen Modem eingerichtet.,Uw oude instellingen zijn nu ingesteld op uw nieuwe modem.,
The final step is to reboot your modem and you can profit from a quicker Wifi connection.,The final step is to reboot your modem and you can profit from a quicker Wifi connection.,La dernière étape consiste à redémarrer votre modem et vous pouvez bénéficier d'une connexion Wifi plus rapide.,El paso final es reiniciar su módem y podrá beneficiarse de una conexión Wifi más rápida.,Il passaggio finale è riavviare il modem e puoi trarre vantaggio da una connessione Wi-Fi più veloce.,"Der letzte Schritt besteht darin, Ihr Modem neu zu starten, und Sie können von einer schnelleren WLAN-Verbindung profitieren.",De laatste stap is het opnieuw opstarten van uw modem en u kunt profiteren van een snellere wifi-verbinding.,
Reboot now,Reboot now,Redémarrer maintenant,Reinicie ahora,Riavvia ora,Jetzt neustarten,Herstart nu,
restoreenterWifi.component,restoreenterWifi.component,restoreenterWifi.component,restoreenterWifi.component,restoreenterWifi.component,restoreenterWifi.component,restoreenterWifi.component,
Swap modem,Swap modem,Changer de modem,Intercambiar módem,Cambia modem,Modem tauschen,Modem verwisselen,
Your location is:,Your location is:,Votre emplacement est :,Tu ubicación es:,La tua posizione è:,Ihr Standort ist:,Uw locatie is:,
home address,home address,adresse du domicile,direccion de casa,indirizzo di casa,Heimatadresse,thuisadres,
To restore your settings you need to enter the wifi password of your old modem.,To restore your settings you need to enter the wifi password of your old modem.,"Pour restaurer vos paramètres, vous devez entrer le mot de passe wifi de votre ancien modem.","Para restaurar su configuración, debe ingresar la contraseña wifi de su módem anterior.",Per ripristinare le tue impostazioni devi inserire la password wifi del tuo vecchio modem.,"Um Ihre Einstellungen wiederherzustellen, müssen Sie das WLAN-Passwort Ihres alten Modems eingeben.",Om je instellingen te herstellen moet je het wifi-wachtwoord van je oude modem invoeren.,
old modem,old modem,vieux modem,módem antiguo,vecchio modem,altes Modem,oud modem,
Enter the old wifi password,Enter the old wifi password,Entrez l'ancien mot de passe Wi-Fi,Ingrese la contraseña wifi anterior,Inserisci la vecchia password Wi-Fi,Geben Sie das alte WLAN-Passwort ein,Voer het oude wifi-wachtwoord in,
Restore settings,Restore settings,Restaurer les paramètres,Restaurar configuracion,Ripristina impostazioni,Einstellungen zurücksetzen,Instellingen herstellen,
